Date,Product,Category,Sales,Quantity,Revenue,Region
2024-01-01,Laptop,Electronics,1200,1,1200,North
2024-01-02,Phone,Electronics,800,2,1600,South
2024-01-03,Desk,Furniture,300,1,300,East
2024-01-04,Chair,Furniture,150,4,600,West
2024-01-05,Tablet,Electronics,600,1,600,North
2024-01-06,Monitor,Electronics,400,2,800,South
2024-01-07,Sofa,Furniture,900,1,900,East
2024-01-08,Laptop,Electronics,1200,1,1200,West
2024-01-09,Phone,Electronics,800,3,2400,North
2024-01-10,Desk,Furniture,300,2,600,South
2024-01-11,Chair,Furniture,150,6,900,East
2024-01-12,Tablet,Electronics,600,1,600,West
2024-01-13,Monitor,Electronics,400,1,400,North
2024-01-14,Sofa,Furniture,900,1,900,South
2024-01-15,Laptop,Electronics,1200,2,2400,East
2024-01-16,Phone,Electronics,800,1,800,West
2024-01-17,Desk,Furniture,300,3,900,North
2024-01-18,Chair,Furniture,150,2,300,South
2024-01-19,Tablet,Electronics,600,2,1200,East
2024-01-20,Monitor,Electronics,400,3,1200,West
2024-01-21,Sofa,Furniture,900,2,1800,North
2024-01-22,Laptop,Electronics,1200,1,1200,South
2024-01-23,Phone,Electronics,800,2,1600,East
2024-01-24,Desk,Furniture,300,1,300,West
2024-01-25,Chair,Furniture,150,5,750,North
2024-01-26,Tablet,Electronics,600,1,600,South
2024-01-27,Monitor,Electronics,400,2,800,East
2024-01-28,Sofa,Furniture,900,1,900,West
2024-01-29,Laptop,Electronics,1200,3,3600,North
2024-01-30,Phone,Electronics,800,1,800,South